Time,Ax,Ay,Az
18.21,-1.00,0.03,-0.11
18.31,-0.97,0.04,-0.07
18.42,-0.98,0.07,-0.10
18.52,-1.01,0.07,-0.15
18.62,-1.10,0.07,-0.13
18.72,-0.90,0.08,-0.13
18.83,-1.03,0.05,-0.15
18.93,-1.00,0.01,-0.11
19.04,-0.97,0.03,-0.10
19.14,-1.06,0.05,-0.08
19.24,-0.99,0.01,-0.13
19.35,-0.86,0.06,-0.10
19.45,-0.97,0.04,-0.10
19.55,-1.05,0.01,-0.05
19.65,-0.95,0.04,-0.15
19.76,-1.09,0.04,-0.10
19.86,-0.89,0.10,-0.10
19.96,-1.05,0.06,-0.12
20.07,-0.84,-0.00,-0.10
20.17,-0.94,0.04,-0.09
20.28,-0.93,0.05,-0.15
20.38,-1.10,0.03,-0.04
20.48,-0.94,0.05,-0.19
20.59,-1.00,0.06,-0.13
20.69,-0.90,0.02,-0.13
20.79,-1.01,0.10,-0.07
20.90,-0.90,0.03,-0.16
21.00,-1.07,0.03,-0.12
21.10,-0.83,0.03,-0.07
21.21,-1.05,0.04,-0.14
21.31,-1.02,0.05,-0.11
21.41,-0.81,0.02,-0.10
21.52,-1.14,0.00,-0.14
21.62,-0.92,0.08,-0.05
21.72,-0.99,0.07,-0.14
21.83,-1.08,0.00,-0.21
21.93,-0.93,0.01,-0.11
22.03,-0.97,0.08,-0.00
22.14,-1.11,0.04,-0.14
22.24,-0.93,-0.00,-0.09
22.34,-0.85,-0.00,-0.09
22.45,-0.98,0.03,-0.11
22.55,-1.06,0.07,-0.10
22.65,-0.95,0.04,-0.06
22.76,-1.09,0.05,-0.13
22.86,-0.98,0.03,-0.10
22.96,-1.10,0.02,-0.12
23.07,-1.04,0.03,-0.12
23.17,-0.92,0.07,-0.12
23.27,-0.87,0.01,-0.15
23.38,-1.04,0.05,-0.13
23.48,-1.03,0.04,-0.03
23.58,-0.93,-0.01,-0.15
23.69,-1.02,0.06,-0.11
23.79,-0.85,0.01,-0.08
23.89,-0.91,-0.01,-0.20
24.00,-1.17,0.08,-0.07
24.10,-1.08,0.04,-0.06
24.20,-0.94,0.01,-0.14
24.31,-1.05,0.02,-0.11
24.41,-0.81,0.03,0.01
24.51,-1.01,-0.01,-0.19
24.62,-1.04,0.11,-0.09
24.72,-0.84,0.05,-0.05
24.82,-1.04,0.05,-0.17
24.93,-1.01,0.05,-0.12
25.03,-0.87,0.03,-0.08
25.13,-1.22,-0.05,-0.23
25.24,-0.97,0.10,-0.06
25.34,-0.88,0.01,-0.09
25.44,-1.03,0.06,-0.16
25.55,-0.98,0.12,-0.04
25.65,-0.92,0.01,-0.10
25.75,-1.02,0.06,-0.13
25.86,-1.13,0.01,-0.06
25.96,-1.00,0.02,-0.06
26.06,-0.68,-0.00,-0.16
26.17,-1.01,0.07,-0.06
26.27,-0.87,0.08,-0.04
26.37,-1.01,0.03,-0.12
26.48,-1.00,0.06,-0.10
26.58,-1.03,0.06,-0.14
26.68,-1.05,0.03,-0.09
26.79,-0.88,0.03,-0.05
26.89,-0.85,0.01,-0.11
26.99,-0.96,0.06,-0.07
27.10,-0.93,0.04,-0.07
27.20,-0.97,0.01,-0.13
27.30,-1.10,0.03,-0.20
27.41,-0.90,0.05,-0.04
27.51,-0.96,0.03,-0.15
27.61,-0.99,0.09,-0.08
27.72,-1.08,0.03,-0.09
27.82,-0.94,0.03,-0.14
27.92,-1.11,0.07,-0.11
28.03,-0.83,0.02,-0.04
28.13,-1.16,0.06,-0.25
28.23,-1.22,-0.05,-0.04
28.34,-0.85,0.01,-0.09
28.44,-0.96,0.01,-0.17
28.55,-1.12,0.06,-0.08
28.65,-0.79,0.01,-0.12
28.75,-1.10,0.02,-0.16
28.85,-1.06,0.10,-0.11
28.96,-0.87,0.06,-0.15
29.06,-0.98,-0.01,-0.11
29.17,-0.95,0.08,-0.01
29.27,-0.85,0.03,-0.09
29.37,-1.12,0.03,-0.13
29.47,-1.03,0.07,-0.04
29.58,-0.86,0.10,-0.18
29.68,-1.07,-0.05,-0.11
29.79,-1.04,0.04,-0.05
29.89,-0.94,-0.01,-0.09
29.99,-1.00,0.03,-0.11
30.10,-1.03,0.10,-0.00
30.20,-0.94,0.00,-0.14
30.30,-1.21,-0.03,-0.11
30.41,-0.98,0.01,-0.13
30.51,-1.08,-0.01,-0.23
30.61,-1.02,0.03,-0.07
30.71,-0.98,0.03,-0.13
30.82,-1.01,0.06,-0.21
30.92,-1.02,0.05,-0.08
31.03,-0.93,0.00,-0.05
31.13,-0.96,-0.01,-0.12
31.23,-1.09,0.04,-0.08
31.34,-0.72,0.02,-0.07
31.44,-1.14,-0.01,-0.24
31.54,-0.80,0.04,-0.07
31.65,-0.92,0.00,-0.15
31.75,-1.13,-0.00,-0.13
31.85,-0.98,0.14,-0.13
31.96,-0.97,0.04,-0.16
32.06,-1.07,0.02,-0.16
32.16,-1.00,0.07,-0.11
32.27,-1.02,-0.01,-0.28
32.37,-1.02,-0.08,-0.12
32.47,-1.02,0.06,-0.05
32.58,-1.05,0.06,-0.15
32.68,-1.05,0.03,-0.10
32.78,-0.88,0.01,-0.09
32.89,-1.20,0.01,-0.10
32.99,-0.98,0.02,-0.11
33.09,-0.81,0.04,-0.16
33.20,-0.97,0.06,-0.13
33.30,-0.98,0.03,-0.17
33.40,-0.97,0.04,-0.12
